slug,group,total_score,,total_score_square
3-strategies-for-minimizing-downtime,1,610,6,36
3-ways-to-securely-browse-the-internet-with-openvpn-on-debian-8,1,310,3,9
4-uses-of-javascripts-arraymap-you-should-know,1,110,1,1
5-common-server-setups-for-your-web-application,1,210,2,4
5-digitalocean-load-balancer-use-cases,1,610,6,36
5-ways-to-improve-your-production-web-application-server-setup,1,610,6,36
7-ru,1,510,5,25
a-comparison-of-dns-server-types-how-to-choose-the-right-dns-configuration,1,410,4,16
a-general-introduction-to-cloud-computing,1,610,6,36
a-guide-to-time-series-forecasting-with-arima-in-python-3,1,410,4,16
a-guide-to-time-series-forecasting-with-prophet-in-python-3,1,210,2,4
a-guide-to-time-series-visualization-with-python-3,1,210,2,4
adding-logstash-filters-to-improve-centralized-logging,1,210,2,4
adding-logstash-filters-to-improve-centralized-logging-logstash-forwarder,1,210,2,4
additional-recommended-steps-for-new-centos-7-servers,1,310,3,9
additional-recommended-steps-for-new-ubuntu-14-04-servers,1,510,5,25
all-the-ways-to-generate-a-next-js-site,1,110,1,1
an-introduction-to-basic-freebsd-maintenance,1,310,3,9
an-introduction-to-ci-cd-best-practices-ru,1,110,1,1
an-introduction-to-cloud-config-scripting,1,210,2,4
an-introduction-to-configuration-management-pt,1,110,1,1
an-introduction-to-dns-terminology-components-and-concepts,1,710,7,49
an-introduction-to-graphql,1,210,2,4
an-introduction-to-hadoop,1,210,2,4
an-introduction-to-haproxy-and-load-balancing-concepts,1,510,5,25
an-introduction-to-json,1,210,2,4
an-introduction-to-let-s-encrypt,1,410,4,16
an-introduction-to-linux-permissions,1,310,3,9
an-introduction-to-load-balancers-comic,1,210,2,4
an-introduction-to-load-testing,1,110,1,1
an-introduction-to-lvm-concepts-terminology-and-operations,1,310,3,9
an-introduction-to-machine-learning,1,310,3,9
an-introduction-to-managing-secrets-safely-with-version-control-systems,1,210,2,4
an-introduction-to-mesosphere,1,310,3,9
an-introduction-to-oauth-2,1,210,2,4
an-introduction-to-raid-terminology-and-concepts,1,310,3,9
an-introduction-to-saltstack-terminology-and-concepts,1,210,2,4
an-introduction-to-selinux-on-centos-7-part-2-files-and-processes,1,210,2,4
an-introduction-to-selinux-on-centos-7-part-3-users,1,310,3,9
an-introduction-to-storage-terminology-and-concepts-in-linux,1,310,3,9
an-introduction-to-the-linux-terminal,1,310,3,9
an-introduction-to-working-with-strings-in-go,1,110,1,1
an-introduction-to-working-with-strings-in-python-3,1,610,6,36
an-overview-of-our-demonstration-html-and-css-website,1,210,2,4
angular-anatomy-angular-module,1,610,6,36
angular-angular-5,1,210,2,4
angular-angular-6,1,210,2,4
angular-angular-7,1,210,2,4
angular-angular-8,1,210,2,4
angular-angular-algolia-instantsearch,1,110,1,1
angular-angular-and-leaflet,1,410,4,16
angular-angular-and-leaflet-marker-service,1,210,2,4
angular-angular-and-leaflet-popup-service,1,210,2,4
angular-angular-and-leaflet-shape-service,1,210,2,4
angular-angular-cli-reference,1,210,2,4
angular-angular-material-2,1,210,2,4
angular-angular-universal,1,110,1,1
angular-animation-callbacks,1,110,1,1
angular-async-validators,1,110,1,1
angular-authentication-auth0,1,110,1,1
angular-building-custom-directives-angular,1,310,3,9
angular-bundle-size,1,110,1,1
angular-class-binding-ngclass-angular,1,210,2,4
angular-component-communication,1,210,2,4
angular-component-inheritance,1,210,2,4
angular-error-tracking-sentry,1,110,1,1
angular-firebase-crud-operations,1,110,1,1
angular-formly,1,410,4,16
angular-graphql-subscriptions,1,310,3,9
angular-internationalization,1,110,1,1
angular-introduction-unit-testing,1,210,2,4
angular-lazy-loading,1,310,3,9
angular-meta-tags,1,110,1,1
angular-ngfor-directive,1,310,3,9
angular-ngrx-store-redux-devtools,1,110,1,1
angular-ngrx-store-redux-state-management,1,210,2,4
angular-ngxs,1,110,1,1
angular-preloading,1,210,2,4
angular-providers-angular,1,210,2,4
angular-providers-shared-modules,1,110,1,1
angular-query-parameters,1,310,3,9
angular-reactive-forms-custom-validator,1,210,2,4
angular-reactive-forms-introduction,1,210,2,4
angular-route-resolvers,1,110,1,1
angular-service-worker-updates,1,110,1,1
angular-shortcut-to-importing-styles-files-in-components,1,110,1,1
angular-socket-io,1,410,4,16
